code,name,r,g,b,白,黒,赤,黄,青,source
65-70D,,151,178,181,59,8,0,9,24,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=70&c=D
65-70H,,124,184,192,48,6,0,12,34,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=70&c=H
65-70L,,86,188,201,33,5,0,14,48,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=70&c=L
65-75A,,182,188,187,71,7,0,9,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=75&c=A
65-80A,,197,206,204,77,4,0,8,11,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=80&c=A
65-80B,,190,205,205,74,4,0,8,14,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=80&c=B
65-80D,,175,203,204,68,4,0,9,19,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=80&c=D
65-80H,,149,210,216,58,2,0,11,29,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=80&c=H
65-85A,,211,220,217,82,2,0,7,9,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=85&c=A
65-85B,,204,220,219,80,2,0,7,11,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=85&c=B
65-90A,,224,232,228,88,1,0,5,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=90&c=A
65-90B,,218,233,231,85,1,0,6,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=90&c=B
65-90D,,203,232,231,79,1,0,7,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=90&c=D
67-40H,,47,107,121,18,28,0,7,47,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=67&v=40&c=H
67-70L,,101,188,207,39,3,0,12,46,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=67&v=70&c=L
67-80H,,159,214,224,62,1,0,9,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=67&v=80&c=H
69-20D,,0,38,44,0,68,0,0,32,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=20&c=D
69-30P,,0,82,114,0,31,0,0,69,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=30&c=P
69-40D,,77,95,104,30,35,0,5,30,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=40&c=D
69-40T,,0,112,155,0,15,0,0,85,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=40&c=T
69-50D,,100,121,129,39,24,0,6,31,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=50&c=D
69-50H,,83,127,143,32,19,0,8,41,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=50&c=H
69-50T,,0,137,183,0,8,0,0,92,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=50&c=T
