code,name,r,g,b,白,黒,赤,黄,青,source
05-30D,,84,57,56,22,45,29,2,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=30&c=D
05-30T,,139,0,25,0,21,79,0,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=30&c=T
05-40D,,112,85,84,33,31,30,3,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=D
05-40F,,125,85,85,33,26,35,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=F
05-40V,,178,27,46,10,9,77,1,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=V
05-40X,,183,0,36,0,8,92,0,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=X
05-50B,,130,116,114,44,24,23,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=B
05-50D,,139,114,113,44,21,28,3,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=D
05-50F,,146,112,110,43,18,30,4,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=F
05-50V,,202,65,74,25,4,63,3,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=V
05-60B,,155,144,142,56,15,20,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=B
05-60D,,162,139,137,54,13,24,4,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=D
05-60F,,171,137,135,53,11,27,4,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=F
05-60L,,197,124,121,47,5,37,5,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=L
05-70A,,179,172,169,66,9,14,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=A
05-70B,,183,171,168,66,8,16,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=B
05-70D,,190,167,164,64,6,20,5,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=D
05-70L,,224,152,150,58,2,30,4,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=L
05-75A,,194,187,184,72,6,12,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=75&c=A
05-75B,,198,186,182,71,5,14,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=75&c=B
05-80A,,206,201,197,77,4,8,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=A
05-80B,,211,200,196,77,3,11,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=B
05-80D,,213,194,190,74,3,14,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=D
05-80L,,252,178,174,67,0,23,4,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=L
05-85A,,219,214,210,82,2,7,6,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=85&c=A
05-85B,,223,213,209,82,1,9,5,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=85&c=B
05-90A,,233,229,223,87,1,3,6,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=90&c=A
05-90B,,240,230,224,88,0,5,4,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=90&c=B
05-90D,,247,220,216,84,0,10,3,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=90&c=D
07-20H,,70,26,25,10,53,35,1,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=20&c=H
07-30F,,99,55,51,20,37,36,4,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=30&c=F
07-30L,,113,42,36,14,31,48,5,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=30&c=L
07-40P,,149,61,55,21,17,52,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=40&c=P
07-40V,,173,36,23,9,10,71,8,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=40&c=V
07-40X,,185,0,25,0,8,92,0,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=40&c=X
07-50L,,170,97,89,34,11,42,7,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=50&c=L
07-50V,,195,31,13,5,6,79,9,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=50&c=V
07-60H,,181,130,125,48,8,32,6,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=60&c=H
07-60T,,224,106,93,36,1,48,8,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=60&c=T
07-70F,,196,159,151,59,5,23,7,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=70&c=F
07-70L,,227,152,142,55,1,31,7,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=70&c=L
07-80H,,235,185,177,69,0,20,6,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=80&c=H
07-90D,,236,219,207,81,0,8,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=07&v=90&c=D
09-20D,,61,30,25,10,58,27,4,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=20&c=D
09-30H,,102,54,42,16,36,36,9,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=30&c=H
09-40H,,128,78,67,26,25,36,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=40&c=H
09-60B,,156,142,138,54,15,19,7,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=60&c=B
09-60D,,165,139,132,51,13,23,8,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=60&c=D
09-60H,,182,131,116,45,8,30,11,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=60&c=H
09-70D,,188,162,154,60,7,20,8,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=70&c=D
09-70H,,210,161,149,58,3,25,8,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=70&c=H
09-80D,,218,196,191,75,2,14,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=80&c=D
09-80F,,229,191,179,70,1,17,7,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=80&c=F
09-90D,,247,221,214,84,0,9,4,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=09&v=90&c=D
12-30H,,106,55,39,15,34,37,12,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=12&v=30&c=H
12-60D,,163,136,120,47,13,21,14,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=12&v=60&c=D
12-70D,,193,166,155,60,6,19,10,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=12&v=70&c=D
12-70L,,222,149,122,47,1,31,14,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=12&v=70&c=L
12-80H,,239,187,166,64,1,19,10,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=12&v=80&c=H
12-90D,,247,222,212,83,0,9,5,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=12&v=90&c=D
15-40D,,114,87,75,29,31,25,12,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=40&c=D
15-40H,,126,81,58,22,26,32,16,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=40&c=H
15-40P,,148,76,20,8,17,42,31,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=40&c=P
15-50B,,131,118,112,44,24,19,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=50&c=B
15-50D,,141,115,102,40,20,23,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=50&c=D
15-60A,,155,148,142,56,15,13,12,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=60&c=A
15-60B,,158,144,136,53,14,17,11,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=60&c=B
15-60D,,167,144,131,51,12,20,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=60&c=D
15-60F,,173,137,117,45,10,24,15,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=60&c=F
15-60V,,230,115,24,9,1,48,39,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=60&c=V
15-65A,,167,159,153,60,12,13,11,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=65&c=A
15-65B,,171,158,151,59,11,15,10,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=65&c=B
15-65X,,250,120,0,0,0,52,48,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=65&c=X
15-70A,,182,174,168,66,8,12,10,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=70&c=A
15-70B,,184,171,163,63,8,14,10,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=70&c=B
15-70D,,193,170,156,61,6,16,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=70&c=D
15-70H,,209,163,137,53,3,23,15,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=70&c=H
15-75A,,195,188,181,71,6,9,10,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=75&c=A
15-75B,,198,185,176,69,5,12,9,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=75&c=B
15-80A,,210,202,195,76,3,8,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=80&c=A
15-80B,,210,197,189,74,3,11,8,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=80&c=B
15-80D,,220,196,181,70,2,13,10,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=80&c=D
15-85A,,222,215,208,81,2,6,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=85&c=A
15-85B,,226,214,204,80,1,8,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=85&c=B
15-90A,,236,229,222,87,0,5,5,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=90&c=A
15-90B,,235,225,214,84,1,5,7,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=90&c=B
15-90D,,250,226,211,82,0,8,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=15&v=90&c=D
17-30F,,93,60,37,14,41,26,17,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=30&c=F
17-40D,,115,89,75,29,30,24,13,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=40&c=D
17-40H,,127,83,52,20,25,30,21,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=40&c=H
17-50D,,133,111,99,39,23,22,12,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=50&c=D
17-50F,,142,108,87,34,20,25,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=50&c=F
17-50L,,164,105,59,23,13,34,26,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=50&c=L
17-60B,,158,144,134,52,15,16,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=60&c=B
17-60D,,161,139,124,48,14,19,14,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=60&c=D
17-60H,,181,139,108,42,8,25,19,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=60&c=H
17-70B,,184,171,161,63,8,13,11,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=70&c=B
17-70D,,196,171,153,60,5,16,13,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=70&c=D
17-70H,,207,164,132,51,4,21,18,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=70&c=H
17-70L,,222,157,111,43,2,27,21,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=70&c=L
17-80A,,210,203,195,76,3,8,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=80&c=A
17-80B,,211,199,187,73,3,9,10,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=80&c=B
17-80C,,215,196,180,70,3,11,11,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=80&c=C
17-80D,,218,192,172,67,2,14,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=80&c=D
17-80H,,234,191,156,60,1,17,16,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=80&c=H
17-90A,,237,231,223,87,0,4,6,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=90&c=A
17-90B,,240,229,217,85,0,5,7,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=90&c=B
17-90D,,249,225,204,79,0,8,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=17&v=90&c=D
19-40D,,109,88,72,28,33,21,15,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=40&c=D
19-40H,,123,83,43,17,27,27,26,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=40&c=H
19-50D,,139,117,98,38,21,19,17,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=50&c=D
19-60B,,158,146,134,52,14,14,15,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=60&c=B
19-60D,,165,143,122,48,13,17,17,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=60&c=D
19-60H,,179,141,106,41,9,22,22,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=60&c=H
19-65A,,168,161,154,60,12,11,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=65&c=A
19-65B,,172,160,147,57,11,13,14,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=65&c=B
19-65C,,174,158,141,55,10,14,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=65&c=C
19-70A,,178,172,164,64,9,9,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=A
19-70B,,187,174,161,63,7,12,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=B
19-70C,,184,168,152,59,8,13,15,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=C
19-70D,,192,172,151,59,6,14,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=D
19-70F,,197,165,134,52,5,18,19,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=F
19-70H,,205,163,124,48,4,21,21,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=H
19-70L,,218,161,101,39,2,25,27,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=70&c=L
19-75A,,196,189,181,71,5,9,11,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=75&c=A
19-75B,,200,189,176,69,5,9,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=75&c=B
19-75C,,200,184,168,65,5,12,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=75&c=C
19-75D,,205,184,161,62,4,13,15,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=75&c=D
19-75L,,227,173,122,47,1,22,23,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=75&c=L
19-80A,,209,202,194,76,3,8,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=80&c=A
19-80B,,212,201,188,73,3,8,11,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=80&c=B
19-80C,,214,199,181,71,3,9,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=80&c=C
19-80D,,222,201,176,68,2,11,14,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=80&c=D
19-80F,,228,197,164,64,1,13,16,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=80&c=F
19-80L,,244,187,129,49,0,21,23,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=80&c=L
19-85A,,221,213,203,79,2,6,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=85&c=A
19-85B,,227,215,201,79,1,7,9,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=85&c=B
19-85C,,228,212,193,75,1,8,11,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=85&c=C
19-90A,,236,231,222,87,0,3,7,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=90&c=A
19-90B,,237,226,212,83,1,5,8,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=90&c=B
19-90D,,248,226,199,77,0,8,11,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=19&v=90&c=D
22-40D,,106,90,73,29,34,17,17,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=40&c=D
22-40H,,118,88,47,18,29,22,28,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=40&c=H
22-50D,,134,115,94,37,23,17,19,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=50&c=D
22-60B,,155,145,133,52,15,13,15,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=60&c=B
22-60D,,159,142,119,46,14,15,20,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=60&c=D
22-65A,,166,162,154,60,12,8,15,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=65&c=A
22-65B,,167,157,143,56,12,11,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=65&c=B
22-65C,,170,157,137,53,11,12,19,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=65&c=C
22-70A,,181,175,167,65,8,9,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=70&c=A
22-70B,,180,171,156,61,9,9,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=70&c=B
22-70C,,187,173,153,60,7,11,17,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=70&c=C
22-70D,,189,172,146,57,6,12,19,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=70&c=D
22-70H,,202,167,121,47,4,18,25,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=70&c=H
22-70L,,213,165,97,37,3,22,32,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=70&c=L
22-75A,,196,192,183,72,5,6,13,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=75&c=A
22-75B,,196,186,171,67,5,9,14,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=75&c=B
22-75C,,201,187,165,64,5,10,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=75&c=C
22-75D,,203,186,161,63,4,11,17,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=75&c=D
22-75F,,210,185,148,58,3,13,20,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=75&c=F
22-80A,,209,204,196,77,3,6,10,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=80&c=A
22-80B,,209,198,183,72,3,8,12,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=80&c=B
22-80C,,210,197,177,69,3,9,14,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=80&c=C
22-80D,,215,197,169,66,2,10,16,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=80&c=D
22-80F,,221,197,159,62,2,11,19,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=80&c=F
22-80H,,228,195,149,58,1,14,21,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=80&c=H
22-85A,,222,218,210,82,2,4,9,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=85&c=A
22-85B,,223,215,199,78,2,5,11,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=85&c=B
22-85C,,224,210,188,73,1,8,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=85&c=C
22-90A,,234,230,220,86,1,3,7,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=90&c=A
22-90B,,235,225,207,81,0,5,10,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=90&c=B
22-90C,,239,225,202,79,0,6,11,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=90&c=C
22-90D,,242,224,194,75,0,7,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=22&v=90&c=D
25-30B,,62,53,38,15,57,11,16,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=30&c=B
25-40D,,104,89,66,26,35,15,21,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=40&c=D
25-40H,,109,85,39,15,33,18,32,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=40&c=H
25-50D,,132,117,92,36,23,14,23,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=50&c=D
25-60B,,152,145,131,51,16,9,19,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=60&c=B
25-60D,,159,147,123,48,14,11,22,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=60&c=D
25-65A,,165,161,152,59,13,7,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=65&c=A
25-65B,,165,158,143,56,12,9,18,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=65&c=B
25-70A,,177,173,164,64,9,7,15,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=70&c=A
25-70B,,178,170,154,60,9,9,17,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=70&c=B
25-70D,,185,172,145,56,7,10,21,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=70&c=D
25-70L,,201,166,89,34,5,17,38,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=70&c=L
25-75A,,192,188,178,70,6,6,14,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=75&c=A
25-75B,,194,187,170,66,6,7,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=75&c=B
25-75C,,195,184,161,63,6,8,18,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=75&c=C
25-80A,,204,200,190,74,4,5,13,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=80&c=A
25-80B,,206,199,184,72,4,6,14,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=80&c=B
25-80C,,211,200,176,69,3,7,16,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=80&c=C
25-80D,,214,199,168,65,3,8,18,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=80&c=D
25-80H,,222,197,144,55,2,11,25,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=80&c=H
25-85A,,217,212,200,78,2,5,11,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=25&v=85&c=A
